key,state,eradicated_2014,dea_2014,cpp_2014,eradicated_2015,dea_2015,cpp_2015,dea_2016,population
AL,ALABAMA,3934,191000,48.55,15300,190000,12.41830065,190000,4858979
AK,ALASKA,2624,70000,26.68,249,0,0,0,738432
AZ,ARIZONA,2013,133000,66.07,2452,94000,38.3360522,86000,6828065
AR,ARKANSAS,76033,0,0,14726,0,0,0,2978204
CA,CALIFORNIA,2684636,5325000,1.98,2643000,5368410,2.031180477,4331429,39144818
CO,COLORADO,8056,80000,9.93,27072,0,0,0,5456574
CT,CONNECTICUT,1927,38000,19.72,867,55000,63.43713956,44000,3590886
DE,DELAWARE,923,6500,7.04,83,12000,144.5783133,12000,945934
FL,FLORIDA,31404,600000,19.11,18486,375000,20.28562155,300000,20271272
GA,GEORGIA,15674,620000,39.56,49148,875000,17.80336941,769600,10214860
HI,HAWAII,29463,693000,23.52,15852,563383,35.5401842,450690,1431603
ID,IDAHO,6060,280000,46.2,6987,325000,46.51495635,260000,1654930
IL,ILLINOIS,14326,165000,11.52,3890,170000,43.70179949,100000,12859995
IN,INDIANA,84528,480000,5.68,63530,510000,8.027703447,408000,6619680
IA,IOWA,1359,8000,5.89,454,12000,26.43171806,12000,3123899
KS,KANSAS,16272,96000,5.9,2692,147000,54.60624071,117600,2911641
KY,KENTUCKY,461543,1745000,3.78,571340,1950000,3.413029019,1758050,4425092
LA,LOUISIANA,726,105000,144.63,724,130000,179.558011,100000,4670724
ME,MAINE,1472,27000,18.34,848,30000,35.37735849,26200,1329328
MD,MARYLAND,5638,120000,21.28,2834,135000,47.63585039,108000,6006401
MA,MASSACHUSETTS,1802,60000,33.3,3138,75000,23.90057361,60000,6794422
MI,MICHIGAN,75427,400000,5.3,18942,455000,24.02069475,364000,9922576
MN,MINNESOTA,1304,75000,57.52,601,50000,83.19467554,40000,5489594
MS,MISSISSIPPI,1374,64000,46.58,2736,70000,25.58479532,71000,2992333
MO,MISSOURI,7214,47000,6.52,7248,93000,12.83112583,75000,6083672
MT,MONTANA,1381,20000,14.48,241,20000,82.98755187,20000,1032949
NE,NEBRASKA,8175,76000,9.3,3640,72000,19.78021978,72000,1896190
NV,NEVADA,6310,150000,23.77,5153,165500,32.11721327,147000,2890845
NH,NEW HAMPSHIRE,248,40000,161.29,27,20000,740.7407407,37500,1330608
NJ,NEW JERSEY,0,20000,0,115,15000,130.4347826,15000,8958013
NM,NEW MEXICO,1048,6000,5.73,0,6000,0,6000,2085109
NY,NEW YORK,13018,259000,19.9,11623,356000,30.62892541,266000,19795791
NC,NORTH CAROLINA,4302,290000,67.41,4187,300000,71.65034631,240000,10042802
ND,NORTH DAKOTA,0,0,0,0,0,0,0,756927
OH,OHIO,26554,489500,18.43,24455,515000,21.05908812,412000,11613423
OK,OKLAHOMA,28925,335000,11.58,23387,398000,17.01800145,352400,3911338
OR,OREGON,16067,1000000,62.24,39138,762000,19.46956922,200000,4028977
PA,PENNSYLVANIA,5718,150000,26.23,4825,125000,25.90673575,100000,12802503
RI,RHODE ISLAND,0,0,0,0,0,0,0,1056298
SC,SOUTH CAROLINA,2607,175000,67.13,2040,135727,66.53284314,108581,4896146
SD,SOUTH DAKOTA,0,0,0,0,0,0,0,858469
TN,TENNESSEE,111361,805000,7.23,127565,850000,6.663269706,715000,6600299
TX,TEXAS,261763,545000,2.08,231660,616000,2.659069326,541750,27469114
UT,UTAH,0,150000,0,0,73000,0,58400,2995919
VT,VERMONT,2454,24000,9.78,1196,15000,12.54180602,0,626042
VA,VIRGINIA,11869,200000,16.85,37089,156000,4.206098843,124800,8382993
WA,WASHINGTON,57263,1050000,18.34,35933,950000,26.43809312,760000,7170351
WV,WEST VIRGINIA,196573,555000,2.82,195427,565000,2.891105119,452000,1844128
WI,WISCONSIN,6625,200000,30.19,32320,110000,3.403465347,88000,5771337
WY,WYOMING,0,0,0,0,0,0,0,586107
